outcome,level,model,n,term,estimate,se,statistic,p
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x unemployment,-4.635129113300489e-4,4.3331601736724176e-4,-1.0696879246381856,0.28571869462835575
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x growth,2.579986392316129e-4,4.2125091772457653e-4,0.6124583434149296,0.5407519282256057
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x growth,-3.17795519251892e-4,4.793180605387507e-4,-0.6630159499825474,0.5078880663758106
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: mid,-0.03537044833000203,0.0019264000310943435,-18.36090519055323,2.2911386527365512e-49
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: high,-0.0813358626773937,0.002747888957303605,-29.599399372093036,1.3499217995513222e-86
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,unemployment,0.004950764637182526,7.241415458824938e-4,6.836736084723808,5.424600754099752e-11
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,growth,-0.0042932106077185036,9.307988855953252e-4,-4.612393368920537,6.162592519293233e-6
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x unemployment,-0.0010391315726670466,6.474731992743119e-4,-1.604902834328441,0.10968851977228135
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x unemployment,0.0010350635406097587,7.155565489321599e-4,1.446515362279062,0.14919689810461825
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x growth,0.0017632271520478017,6.400052416746979e-4,2.755019861140474,0.006269522894172284
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x growth,0.003946404326640536,9.12948715239272e-4,4.322701002548905,2.1722679617974758e-5
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: mid,-0.011777279545847483,0.001583791514090556,-7.4361299710651805,1.3910421864151712e-12
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: high,-0.021589991080360908,0.0018831129984403642,-11.46505339734908,4.837759685016633e-25
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,unemployment,-9.59733010571843e-4,9.263823682011929e-4,-1.0360009468178988,0.3011321074686982
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,growth,-9.676045168866992e-4,8.03600039314494e-4,-1.2040871945602545,0.22961430470691943
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x unemployment,6.170895792913556e-4,5.374779752141033e-4,1.148120681681029,0.2519387260628079
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x unemployment,8.592604987282649e-4,5.190316164801777e-4,1.6555070470568933,0.09898779402319767
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x growth,9.174744863803034e-4,4.99346827199361e-4,1.837349185787472,0.0672613279186766
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x growth,0.0019390659074412105,5.630955454270706e-4,3.4435823958979426,6.656278928895118e-4
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: mid,0.058120059146839244,0.002370462994264832,24.518441877159283,1.5568803174253156e-70
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: high,0.11743541887048417,0.003297924612449838,35.60888518408193,8.364158758802269e-104
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,unemployment,-0.003262139997334387,7.676967322774592e-4,-4.249256067115044,2.9593934350092535e-5
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,growth,0.0013421667700601152,0.0011387989010299482,1.1785810197447835,0.23960653012541677
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x unemployment,0.001601029194466462,7.829360940719737e-4,2.0449040561403504,0.04183745260576408
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x unemployment,-6.741656211939513e-5,9.066073966710406e-4,-0.07436136343795682,0.9407781181402166
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x growth,-8.504349915183108e-4,7.87462365795598e-4,-1.079969060691668,0.2811232904513452
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x growth,-0.0031802328640075602,9.734283556181904e-4,-3.2670435843097105,0.0012279015728216191
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: mid,0.009613056583116581,0.0012070264808151396,7.964246630798529,4.7092748168175807e-14
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: high,0.014521128259220178,0.0015416604647178628,9.419148114353227,2.161475877962861e-18
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,unemployment,-0.0010249589066488355,4.22468447824437e-4,-2.426119422472876,0.015919087022406686
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,growth,0.0014645767836067533,5.213456857294307e-4,2.8092239442964204,0.0053304169446985305
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x unemployment,3.5585554381247425e-4,2.9052195188471706e-4,1.224883495047157,0.22169062121825445
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x unemployment,-1.4751282126557294e-4,3.9024009745571654e-4,-0.3780052901465676,0.7057247724649366
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x growth,8.368273241233697e-4,3.734762075680693e-4,2.2406442690752946,0.025865483244372812
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x growth,3.933090098550995e-4,4.220816036059986e-4,0.9318316801654366,0.3522590820923809
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: mid,-0.022541111634577022,0.0017319280549817056,-13.015039262017801,2.3008925055928738e-30
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: high,-0.0638895791716355,0.002595600324733498,-24.61456741349242,7.508409031501259e-71
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,unemployment,0.003988304634585904,6.526014363521115e-4,6.111394202378083,3.4538495043681624e-9
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,growth,-0.004320745464974015,8.743856051163676e-4,-4.941464543436747,1.3648793954076172e-6
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x unemployment,-2.2830487535595702e-4,5.271108479185369e-4,-0.4331249797978749,0.6652710622865042
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x unemployment,0.0018319044333645225,5.734522241993337e-4,3.1945197107261496,0.0015674407468463203
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x growth,0.0020227597672881643,5.656804419388462e-4,3.5757993689073624,4.138397454585982e-4
comm,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x growth,0.00407400835865926,8.499564546293969e-4,4.793196564917709,2.7187392922519056e-6
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: mid,-0.004820847557220613,0.001386336989844443,-3.477399501373434,5.902394109654993e-4
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,education: high,-0.011660046206325199,0.0016664152539394503,-6.997083217259646,2.0761644834856713e-11
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,unemployment,-0.0012536335101277695,7.948120445518211e-4,-1.5772703983552097,0.1159085537671157
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,growth,-0.001188894419433414,7.398583953872175e-4,-1.6069215769474183,0.10924470649986469
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x unemployment,9.804389849432805e-4,4.2650316888180156e-4,2.298784760530099,0.02228399334983408
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x unemployment,0.001209393805822995,4.1285473080457684e-4,2.929344671589719,0.003687981929018108
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,mid x growth,0.001116861659090709,4.408137292743649e-4,2.533636284262753,0.011856792831473213
lib,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion scored zero",407144,high x growth,0.00207489675001766,5.0684283279774e-4,4.093767566100053,5.6170853197662815e-5
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: mid,0.08492213596941096,0.005548085314677782,15.306566347266601,1.6036500069738733e-14
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: high,0.16373657831062013,0.009093133273817815,18.006618112820664,3.339787427151853e-16
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,unemployment,-0.003628134346960592,0.001096122868730099,-3.3099704882208383,0.002739386594045037
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,growth,0.0013162197086587172,0.0012140115771407689,1.0841904092534835,0.28823210800725685
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x unemployment,0.0016481665683666011,0.0011219991899620604,1.4689552212799126,0.15384138825452617
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x unemployment,1.411822221728217e-4,0.0014806514553536653,0.09535142228263249,0.92476681409539
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x growth,-9.634694946258925e-4,9.545789817229371e-4,-1.0093135435340392,0.3221257029869679
cosmo,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x growth,-0.0032356940307070813,9.861208455360566e-4,-3.281234795263002,0.0029434448231607925
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: mid,0.015609934618584839,0.0021090345258504557,7.40145997007338,7.364020740873887e-8
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: high,0.024169020247212177,0.0036695453953138773,6.586379958148702,5.520132373532079e-7
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,unemployment,-0.00108335236734228,7.030680102195886e-4,-1.5408927039702995,0.1354268894041079
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,growth,0.0014546907563614134,4.4953606797380085e-4,3.2359822937415412,0.003294833859848949
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x unemployment,4.1269413843451604e-4,4.863874685777468e-4,0.8484884276342098,0.4039103910496942
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x unemployment,-1.351878653278911e-4,7.151454781956691e-4,-0.18903547522802444,0.8515329070295524
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x growth,8.268714067548714e-4,5.418301647189649e-4,1.5260711946219365,0.13906614654383198
util,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x growth,3.6014900040226604e-4,5.277875924879756e-4,0.6823748900661608,0.5010367145425743
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: mid,-0.034587284707942534,0.003139536408569065,-11.01668533403207,2.720187537614636e-11
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: high,-0.08983013196570619,0.006742011469407792,-13.323936390988775,3.9835632858243126e-13
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,unemployment,0.004202237483589944,9.920506126344687e-4,4.235910376014557,2.521238288030909e-4
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,growth,-0.004358349742973686,0.0010758372996822003,-4.051123477742529,4.0910694416667546e-4
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x unemployment,-1.5012392225483289e-4,7.064753117576943e-4,-0.21249705369226282,0.8333764807405264
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x unemployment,0.0018334105739070058,9.111471412126117e-4,2.0122003252591982,0.05466661772439621
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x growth,0.002131485921493367,6.054946616392973e-4,3.5202389988421183,0.0016111471644558364
comm,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x growth,0.004112638934413258,6.909844910300316e-4,5.9518541845746205,2.787655010829693e-6
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: mid,-0.014247049409907462,0.0034315145414524247,-4.151825451358061,3.143461926401947e-4
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,education: high,-0.02442050645785038,0.004888058196454175,-4.995952477727282,3.3965596283469674e-5
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,unemployment,-0.001115830051452452,0.0015226310285541347,-0.7328302330158252,0.4702178347871532
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,growth,-0.0012276815701954818,8.942249057418889e-4,-1.37290022041708,0.18150969491818864
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x unemployment,9.013504646856307e-4,6.549118555449871e-4,1.3762927897152952,0.18046981977199777
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x unemployment,0.0010204505965084832,7.84771427614165e-4,1.3003156850534454,0.20490174115799437
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,mid x growth,0.0011969595788341428,5.809197677902635e-4,2.0604559273085292,0.04949243146869052
lib,cell,"education-band cells, country and year fixed effects, weighted by n",810,high x growth,0.002171420238341753,6.085822039356066e-4,3.5679982495372284,0.0014265440605033097
