pid,cntry,year,w1,age,female,edu4,cosmo,util,comm,lib,pos,neg,unemp,growth,bailout
27,AT,2004,0.7674,30,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
28,AT,2004,0.9468,44,0,e16_19,0.5,0.5,0,0,1,0,5.829999924,2.735120222,0
29,AT,2004,1.1,54,1,le15,0,0,0.5,0.5,0,1,5.829999924,2.735120222,0
30,AT,2004,1.259,63,0,le15,0.75,0,0,0.25,0.75,0.25,5.829999924,2.735120222,0
31,AT,2004,0.8916,40,0,e16_19,0.333333,0,0.333333,0.333333,0.333333,0.666667,5.829999924,2.735120222,0
32,AT,2004,0.9904,47,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
33,AT,2004,0.6315,17,1,e16_19,0.75,0,0.25,0,0.75,0.25,5.829999924,2.735120222,0
34,AT,2004,0.779,31,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
35,AT,2004,1.5532,77,1,e16_19,0.5,0.333333,0.166667,0,0.833333,0.166667,5.829999924,2.735120222,0
36,AT,2004,1.1335,56,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
37,AT,2004,0.7228,26,1,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
38,AT,2004,1.4627,73,1,le15,0.666667,0,0,0.333333,0.666667,0.333333,5.829999924,2.735120222,0
39,AT,2004,0.8397,36,0,studying,0.75,0,0.25,0,0.75,0.25,5.829999924,2.735120222,0
40,AT,2004,0.6221,16,1,e20plus,0,0,0,0,0,0,5.829999924,2.735120222,0
41,AT,2004,0.6507,19,0,e16_19,0,0.5,0.5,0,0.5,0.5,5.829999924,2.735120222,0
42,AT,2004,1.3776,69,1,e16_19,0.333333,0,0,0.666667,0.333333,0.666667,5.829999924,2.735120222,0
43,AT,2004,0.8524,37,1,e16_19,0.333333,0,0.333333,0.333333,0.333333,0.666667,5.829999924,2.735120222,0
44,AT,2004,1.0516,51,1,e20plus,0,1,0,0,1,0,5.829999924,2.735120222,0
45,AT,2004,0.8149,34,0,e20plus,0,0.5,0.5,0,0.5,0.5,5.829999924,2.735120222,0
46,AT,2004,1.168,58,1,e16_19,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
47,AT,2004,0.9904,47,1,le15,0.25,0.25,0.5,0,0.5,0.5,5.829999924,2.735120222,0
48,AT,2004,0.9904,47,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
49,AT,2004,1.0516,51,1,e20plus,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
50,AT,2004,1.0053,48,0,le15,0,0,0,0,0,0,5.829999924,2.735120222,0
51,AT,2004,1.0836,53,1,le15,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
52,AT,2004,0.756,29,0,e20plus,0.6,0,0.2,0.2,0.6,0.4,5.829999924,2.735120222,0
53,AT,2004,1.168,58,0,le15,0,0,1,0,0,1,5.829999924,2.735120222,0
54,AT,2004,0.8524,37,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
55,AT,2004,0.8149,34,0,e20plus,0.8,0.2,0,0,1,0,5.829999924,2.735120222,0
56,AT,2004,0.779,31,1,le15,0,0.333333,0.666667,0,0.333333,0.666667,5.829999924,2.735120222,0
57,AT,2004,0.6315,17,0,le15,0.5,0.375,0.125,0,0.875,0.125,5.829999924,2.735120222,0
58,AT,2004,1.4195,71,0,e16_19,0.25,0,0.75,0,0.25,0.75,5.829999924,2.735120222,0
59,AT,2004,0.8784,39,0,e16_19,0.8,0,0.2,0,0.8,0.2,5.829999924,2.735120222,0
60,AT,2004,1.2036,60,1,studying,0.75,0.25,0,0,1,0,5.829999924,2.735120222,0
61,AT,2004,1.3776,69,1,e20plus,0.75,0,0,0.25,0.75,0.25,5.829999924,2.735120222,0
62,AT,2004,1.1857,59,1,studying,1,0,0,0,1,0,5.829999924,2.735120222,0
63,AT,2004,0.8916,40,1,e16_19,0.25,0.25,0.5,0,0.5,0.5,5.829999924,2.735120222,0
64,AT,2004,0.9904,47,0,le15,0.2,0,0.4,0.4,0.2,0.8,5.829999924,2.735120222,0
65,AT,2004,0.8784,39,1,le15,0,0,1,0,0,1,5.829999924,2.735120222,0
66,AT,2004,0.9611,45,1,studying,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
67,AT,2004,1.0053,48,1,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
68,AT,2004,0.7014,24,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
69,AT,2004,0.8916,40,0,e16_19,0.75,0.25,0,0,1,0,5.829999924,2.735120222,0
70,AT,2004,0.6807,22,0,le15,0,0,0,1,0,1,5.829999924,2.735120222,0
71,AT,2004,1.441,72,1,e16_19,0.5,0,0,0.5,0.5,0.5,5.829999924,2.735120222,0
72,AT,2004,0.9051,41,1,le15,0.6,0.4,0,0,1,0,5.829999924,2.735120222,0
73,AT,2004,0.9188,42,1,e20plus,0.4,0,0.6,0,0.4,0.6,5.829999924,2.735120222,0
74,AT,2004,0.9327,43,1,e16_19,0.6,0,0.2,0.2,0.6,0.4,5.829999924,2.735120222,0
75,AT,2004,1.0053,48,0,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
76,AT,2004,1.2973,65,0,e16_19,0,0,0,1,0,1,5.829999924,2.735120222,0
77,AT,2004,0.7337,27,0,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
78,AT,2004,1.0516,51,0,e20plus,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
79,AT,2004,0.7674,30,1,e20plus,0.333333,0,0.5,0.166667,0.333333,0.666667,5.829999924,2.735120222,0
80,AT,2004,0.6221,16,1,le15,0,0,0,0,0,0,5.829999924,2.735120222,0
81,AT,2004,0.7228,26,0,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
82,AT,2004,1.2973,65,0,e16_19,0.25,0.25,0.25,0.25,0.5,0.5,5.829999924,2.735120222,0
83,AT,2004,1.168,58,1,e20plus,0,1,0,0,1,0,5.829999924,2.735120222,0
84,AT,2004,0.8397,36,1,e16_19,0.333333,0.333333,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
85,AT,2004,1.0205,49,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
86,AT,2004,0.8397,36,0,e16_19,0.285714,0.285714,0.285714,0.142857,0.571429,0.428571,5.829999924,2.735120222,0
87,AT,2004,0.8916,40,1,le15,0.666667,0,0,0.333333,0.666667,0.333333,5.829999924,2.735120222,0
88,AT,2004,0.9904,47,1,e16_19,0.4,0.2,0.2,0.2,0.6,0.4,5.829999924,2.735120222,0
89,AT,2004,0.7337,27,1,e20plus,0.5,0.25,0.25,0,0.75,0.25,5.829999924,2.735120222,0
90,AT,2004,1.168,58,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
91,AT,2004,0.712,25,1,e20plus,0.5,0,0,0.5,0.5,0.5,5.829999924,2.735120222,0
92,AT,2004,0.9468,44,1,le15,0,0,0,0,0,0,5.829999924,2.735120222,0
93,AT,2004,0.9051,41,0,e20plus,0.666667,0,0,0.333333,0.666667,0.333333,5.829999924,2.735120222,0
94,AT,2004,1.1506,57,1,le15,0.666667,0.333333,0,0,1,0,5.829999924,2.735120222,0
95,AT,2004,1.3169,66,0,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
96,AT,2004,1.2036,60,0,e20plus,0,0.333333,0.666667,0,0.333333,0.666667,5.829999924,2.735120222,0
97,AT,2004,0.6507,19,1,e20plus,0.5,0,0.333333,0.166667,0.5,0.5,5.829999924,2.735120222,0
98,AT,2004,0.9756,46,0,e16_19,0.666667,0,0,0.333333,0.666667,0.333333,5.829999924,2.735120222,0
99,AT,2004,1.1857,59,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
100,AT,2004,1.4849,74,0,le15,0,1,0,0,1,0,5.829999924,2.735120222,0
101,AT,2004,0.9188,42,0,e20plus,0.8,0,0,0.2,0.8,0.2,5.829999924,2.735120222,0
102,AT,2004,0.9188,42,1,e16_19,0.333333,0.333333,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
103,AT,2004,0.9051,41,1,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
104,AT,2004,1.1166,55,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
105,AT,2004,1.5532,77,1,studying,1,0,0,0,1,0,5.829999924,2.735120222,0
106,AT,2004,0.9904,47,0,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
107,AT,2004,0.8397,36,0,studying,0.4,0,0.6,0,0.4,0.6,5.829999924,2.735120222,0
108,AT,2004,1.2973,65,1,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
109,AT,2004,0.9468,44,1,le15,0.6,0.2,0.2,0,0.8,0.2,5.829999924,2.735120222,0
110,AT,2004,0.9327,43,0,e16_19,0.5,0.25,0,0.25,0.75,0.25,5.829999924,2.735120222,0
111,AT,2004,0.7014,24,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
112,AT,2004,0.6807,22,1,studying,0.5,0.25,0.25,0,0.75,0.25,5.829999924,2.735120222,0
113,AT,2004,1.3776,69,1,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
114,AT,2004,1.2036,60,0,le15,0,0,0,0,0,0,5.829999924,2.735120222,0
115,AT,2004,0.7228,26,0,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
116,AT,2004,0.8524,37,0,e20plus,0.333333,0.333333,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
117,AT,2004,0.8653,38,1,studying,0.75,0,0.25,0,0.75,0.25,5.829999924,2.735120222,0
118,AT,2004,0.9611,45,1,e20plus,0.75,0.25,0,0,1,0,5.829999924,2.735120222,0
119,AT,2004,0.8272,35,1,e20plus,0,0.5,0,0.5,0.5,0.5,5.829999924,2.735120222,0
120,AT,2004,1.1506,57,0,le15,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
121,AT,2004,0.8397,36,1,e16_19,0.8,0,0.2,0,0.8,0.2,5.829999924,2.735120222,0
122,AT,2004,1.3776,69,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
123,AT,2004,0.9327,43,1,le15,0.5,0.5,0,0,1,0,5.829999924,2.735120222,0
124,AT,2004,0.7674,30,0,e20plus,0.666667,0.333333,0,0,1,0,5.829999924,2.735120222,0
125,AT,2004,1.2403,62,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
126,AT,2004,1.1857,59,0,e16_19,0.4,0,0.6,0,0.4,0.6,5.829999924,2.735120222,0
127,AT,2004,1.441,72,0,le15,0.25,0,0.5,0.25,0.25,0.75,5.829999924,2.735120222,0
128,AT,2004,0.756,29,1,e16_19,0.333333,0,0,0.666667,0.333333,0.666667,5.829999924,2.735120222,0
129,AT,2004,0.712,25,0,le15,0.5,0.5,0,0,1,0,5.829999924,2.735120222,0
130,AT,2004,0.8524,37,1,le15,0.75,0,0.25,0,0.75,0.25,5.829999924,2.735120222,0
131,AT,2004,1.1335,56,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
132,AT,2004,1.0205,49,0,e20plus,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
133,AT,2004,0.779,31,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
134,AT,2004,0.8784,39,1,le15,0,0,0,0,0,0,5.829999924,2.735120222,0
135,AT,2004,1.168,58,1,e20plus,0,0,0,0,0,0,5.829999924,2.735120222,0
136,AT,2004,1.3571,68,1,e20plus,0.166667,0,0.333333,0.5,0.166667,0.833333,5.829999924,2.735120222,0
137,AT,2004,0.8653,38,1,e20plus,0.714286,0.142857,0.142857,0,0.857143,0.142857,5.829999924,2.735120222,0
138,AT,2004,0.9611,45,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
139,AT,2004,0.712,25,1,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
140,AT,2004,0.8028,33,1,le15,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
141,AT,2004,0.641,18,1,e20plus,0.714286,0.285714,0,0,1,0,5.829999924,2.735120222,0
142,AT,2004,1.0516,51,0,e20plus,0.666667,0.333333,0,0,1,0,5.829999924,2.735120222,0
143,AT,2004,1.3984,70,0,e16_19,0.6,0.4,0,0,1,0,5.829999924,2.735120222,0
144,AT,2004,1.1335,56,1,e20plus,0.5,0,0,0.5,0.5,0.5,5.829999924,2.735120222,0
145,AT,2004,1.0675,52,0,e16_19,0,0.222222,0.555556,0.222222,0.222222,0.777778,5.829999924,2.735120222,0
146,AT,2004,0.8149,34,1,le15,0,0,0,0,0,0,5.829999924,2.735120222,0
147,AT,2004,0.7337,27,0,e16_19,0,0,1,0,0,1,5.829999924,2.735120222,0
148,AT,2004,1.0516,51,0,le15,0,0,1,0,0,1,5.829999924,2.735120222,0
149,AT,2004,0.8149,34,0,le15,0,0,0,0,0,0,5.829999924,2.735120222,0
150,AT,2004,1.3571,68,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
151,AT,2004,0.7448,28,0,studying,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
152,AT,2004,0.9468,44,1,e20plus,0.5,0.5,0,0,1,0,5.829999924,2.735120222,0
153,AT,2004,1.2403,62,0,e16_19,0.333333,0,0,0.666667,0.333333,0.666667,5.829999924,2.735120222,0
154,AT,2004,0.7337,27,0,e16_19,0.5,0.5,0,0,1,0,5.829999924,2.735120222,0
155,AT,2004,0.8028,33,1,e20plus,0,0,1,0,0,1,5.829999924,2.735120222,0
156,AT,2004,0.8028,33,1,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
157,AT,2004,1.0836,53,0,e20plus,0,0.666667,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
158,AT,2004,0.9904,47,1,e16_19,0.333333,0.333333,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
159,AT,2004,0.8149,34,1,studying,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
160,AT,2004,1.3984,70,1,e20plus,0.666667,0.333333,0,0,1,0,5.829999924,2.735120222,0
161,AT,2004,1.0836,53,1,e20plus,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
162,AT,2004,0.7674,30,0,le15,0.5,0.25,0,0.25,0.75,0.25,5.829999924,2.735120222,0
163,AT,2004,0.779,31,1,e20plus,0.5,0.5,0,0,1,0,5.829999924,2.735120222,0
164,AT,2004,1.278,64,0,le15,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
165,AT,2004,1.0516,51,1,e16_19,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
166,AT,2004,0.7337,27,1,e20plus,0.4,0.4,0.2,0,0.8,0.2,5.829999924,2.735120222,0
167,AT,2004,0.9904,47,0,le15,0.5,0,0.25,0.25,0.5,0.5,5.829999924,2.735120222,0
168,AT,2004,0.8653,38,1,le15,0.333333,0,0,0.666667,0.333333,0.666667,5.829999924,2.735120222,0
169,AT,2004,1.3776,69,0,e16_19,0.75,0,0.25,0,0.75,0.25,5.829999924,2.735120222,0
170,AT,2004,1.0836,53,1,studying,0.5,0.25,0.25,0,0.75,0.25,5.829999924,2.735120222,0
171,AT,2004,0.8397,36,0,e20plus,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
172,AT,2004,0.756,29,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
173,AT,2004,1.8046,87,0,e20plus,0.8,0,0.2,0,0.8,0.2,5.829999924,2.735120222,0
174,AT,2004,0.7448,28,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
175,AT,2004,1.259,63,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
176,AT,2004,1.0836,53,1,e16_19,0.333333,0,0.666667,0,0.333333,0.666667,5.829999924,2.735120222,0
177,AT,2004,1.1,54,0,e16_19,0.25,0,0.75,0,0.25,0.75,5.829999924,2.735120222,0
178,AT,2004,1.2218,61,1,le15,1,0,0,0,1,0,5.829999924,2.735120222,0
179,AT,2004,1.3169,66,0,e16_19,0.4,0.6,0,0,1,0,5.829999924,2.735120222,0
180,AT,2004,0.8028,33,0,e16_19,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
181,AT,2004,1.1,54,0,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
182,AT,2004,1.7777,86,1,e16_19,0,0,0,0,0,0,5.829999924,2.735120222,0
183,AT,2004,1.3571,68,0,e20plus,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
184,AT,2004,0.9327,43,1,le15,0.8,0.2,0,0,1,0,5.829999924,2.735120222,0
185,AT,2004,1.1857,59,1,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
186,AT,2004,0.8149,34,0,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
187,AT,2004,0.9188,42,1,e16_19,0.25,0.5,0.25,0,0.75,0.25,5.829999924,2.735120222,0
188,AT,2004,0.7014,24,0,e20plus,0.5,0.25,0.25,0,0.75,0.25,5.829999924,2.735120222,0
189,AT,2004,0.6705,21,0,studying,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
190,AT,2004,0.8149,34,0,le15,0.2,0.2,0.2,0.4,0.4,0.6,5.829999924,2.735120222,0
191,AT,2004,0.9756,46,0,e20plus,0.166667,0.166667,0.666667,0,0.333333,0.666667,5.829999924,2.735120222,0
192,AT,2004,0.9611,45,1,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
193,AT,2004,0.9468,44,0,le15,0,0.666667,0,0.333333,0.666667,0.333333,5.829999924,2.735120222,0
194,AT,2004,0.8916,40,0,e20plus,0.2,0.2,0,0.6,0.4,0.6,5.829999924,2.735120222,0
195,AT,2004,0.9188,42,0,le15,0.166667,0.166667,0.333333,0.333333,0.333333,0.666667,5.829999924,2.735120222,0
196,AT,2004,1.5301,76,1,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
197,AT,2004,1.2218,61,0,e20plus,0,0,1,0,0,1,5.829999924,2.735120222,0
198,AT,2004,1.259,63,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
199,AT,2004,1.278,64,1,e20plus,0.6,0.2,0,0.2,0.8,0.2,5.829999924,2.735120222,0
200,AT,2004,0.8784,39,0,e20plus,0,0.25,0.75,0,0.25,0.75,5.829999924,2.735120222,0
201,AT,2004,1.1506,57,0,e16_19,1,0,0,0,1,0,5.829999924,2.735120222,0
202,AT,2004,1.7512,85,0,le15,0.666667,0.333333,0,0,1,0,5.829999924,2.735120222,0
203,AT,2004,1.0359,50,1,e16_19,0.2,0.4,0.2,0.2,0.6,0.4,5.829999924,2.735120222,0
204,AT,2004,1.5073,75,1,e20plus,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
205,AT,2004,1.2036,60,0,e20plus,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
206,AT,2004,1.3169,66,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
207,AT,2005,1.461,73,0,e20plus,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
208,AT,2005,0.9599,45,0,le15,0,0.333333,0,0.666667,0.333333,0.666667,5.6300001140000004,2.2440653250000002,0
209,AT,2005,0.8139,34,1,e20plus,0.5,0,0.5,0,0.5,0.5,5.6300001140000004,2.2440653250000002,0
210,AT,2005,0.9599,45,0,le15,0.666667,0,0,0.333333,0.666667,0.333333,5.6300001140000004,2.2440653250000002,0
211,AT,2005,1.1153,55,0,e16_19,0,0,0,1,0,1,5.6300001140000004,2.2440653250000002,0
212,AT,2005,0.6403,18,0,studying,0.5,0.5,0,0,1,0,5.6300001140000004,2.2440653250000002,0
213,AT,2005,1.1153,55,1,e16_19,0.4,0.4,0.2,0,0.8,0.2,5.6300001140000004,2.2440653250000002,0
214,AT,2005,1.2765,64,1,studying,0,0,1,0,0,1,5.6300001140000004,2.2440653250000002,0
215,AT,2005,1.1843,59,1,e16_19,0,0.75,0,0.25,0.75,0.25,5.6300001140000004,2.2440653250000002,0
216,AT,2005,0.8387,36,1,e16_19,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
217,AT,2005,0.7665,30,0,e16_19,0.75,0.125,0.125,0,0.875,0.125,5.6300001140000004,2.2440653250000002,0
218,AT,2005,0.8139,34,0,e16_19,0.666667,0.166667,0.166667,0,0.833333,0.166667,5.6300001140000004,2.2440653250000002,0
219,AT,2005,0.8139,34,1,le15,0.833333,0.166667,0,0,1,0,5.6300001140000004,2.2440653250000002,0
220,AT,2005,0.7006,24,1,e16_19,0.666667,0,0,0.333333,0.666667,0.333333,5.6300001140000004,2.2440653250000002,0
221,AT,2005,0.9316,43,1,e20plus,0,0,0,0,0,0,5.6300001140000004,2.2440653250000002,0
222,AT,2005,0.7328,27,1,e16_19,0.5,0,0.5,0,0.5,0.5,5.6300001140000004,2.2440653250000002,0
223,AT,2005,0.7439,28,1,studying,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
224,AT,2005,1.3353,67,1,e20plus,0.4,0.4,0,0.2,0.8,0.2,5.6300001140000004,2.2440653250000002,0
225,AT,2005,0.7781,31,0,e16_19,0.333333,0.666667,0,0,1,0,5.6300001140000004,2.2440653250000002,0
226,AT,2005,1.2203,61,1,e16_19,0.285714,0.714286,0,0,1,0,5.6300001140000004,2.2440653250000002,0
227,AT,2005,1.2022,60,1,e16_19,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
228,AT,2005,0.7439,28,1,studying,0.555556,0.222222,0.222222,0,0.777778,0.222222,5.6300001140000004,2.2440653250000002,0
229,AT,2005,0.6799,22,0,le15,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
230,AT,2005,0.9599,45,1,e20plus,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
231,AT,2005,0.7219,26,0,e20plus,0,0,0,0,0,0,5.6300001140000004,2.2440653250000002,0
232,AT,2005,0.8018,33,0,e16_19,0.5,0,0.5,0,0.5,0.5,5.6300001140000004,2.2440653250000002,0
233,AT,2005,0.8262,35,1,e16_19,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
234,AT,2005,0.8018,33,0,e20plus,0.5,0.5,0,0,1,0,5.6300001140000004,2.2440653250000002,0
235,AT,2005,1.3759,69,0,e16_19,0.333333,0.5,0.166667,0,0.833333,0.166667,5.6300001140000004,2.2440653250000002,0
236,AT,2005,1.0041,48,1,e16_19,0.333333,0.5,0.166667,0,0.833333,0.166667,5.6300001140000004,2.2440653250000002,0
237,AT,2005,1.2958,65,1,e20plus,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
238,AT,2005,0.8773,39,0,studying,0.333333,0.166667,0,0.5,0.5,0.5,5.6300001140000004,2.2440653250000002,0
239,AT,2005,0.6901,23,0,e16_19,0,0.75,0.25,0,0.75,0.25,5.6300001140000004,2.2440653250000002,0
240,AT,2005,0.8018,33,1,e16_19,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
241,AT,2005,1.3554,68,1,studying,0.5,0.5,0,0,1,0,5.6300001140000004,2.2440653250000002,0
242,AT,2005,1.0347,50,1,e16_19,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
243,AT,2005,0.7551,29,1,e16_19,0.333333,0,0.333333,0.333333,0.333333,0.666667,5.6300001140000004,2.2440653250000002,0
244,AT,2005,1.2022,60,1,e20plus,0.428571,0,0.571429,0,0.428571,0.571429,5.6300001140000004,2.2440653250000002,0
245,AT,2005,1.1666,58,1,le15,0.5,0,0.5,0,0.5,0.5,5.6300001140000004,2.2440653250000002,0
246,AT,2005,0.8773,39,0,e20plus,0.8,0,0.2,0,0.8,0.2,5.6300001140000004,2.2440653250000002,0
247,AT,2005,0.7551,29,1,e20plus,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
248,AT,2005,0.7899,32,1,le15,0,0,0,0,0,0,5.6300001140000004,2.2440653250000002,0
249,AT,2005,1.2575,63,0,le15,0.333333,0,0.333333,0.333333,0.333333,0.666667,5.6300001140000004,2.2440653250000002,0
250,AT,2005,1.0987,54,1,e16_19,0.5,0.5,0,0,1,0,5.6300001140000004,2.2440653250000002,0
251,AT,2005,1.2203,61,1,e16_19,0.666667,0.333333,0,0,1,0,5.6300001140000004,2.2440653250000002,0
252,AT,2005,0.8643,38,0,studying,1,0,0,0,1,0,5.6300001140000004,2.2440653250000002,0
253,AT,2005,1.2203,61,1,le15,0.666667,0,0,0.333333,0.666667,0.333333,5.6300001140000004,2.2440653250000002,0
